id,first_name,last_name,team_id
5499789,Mason,Phillips,SD_college_m_Sioux_Falls
5500262,Kyle,Bullington,CA_college_m_Pacific_Union
5500552,Jeremiah,Fitzgerald,OH_college_m_Akron
5500934,Lane,Alexander,AR_college_m_Southern_Arkansas
5500936,Bradyn,Gower,AR_college_m_Southern_Arkansas
5501241,Jacob,Suchors,TX_college_m_West_Texas_AM
5501248,Reid,Splawn,TX_college_m_West_Texas_AM
5501787,GJ,Reyna,TX_college_m_Houston
5503581,Jack,Guyton,FL_college_m_Florida
5503828,Aaron,Brinegar,OK_college_m_Southern_Nazarene
5504378,Kale,Adams,CO_college_m_Adams_State
5504381,James,Freeman,CO_college_m_Adams_State
5504387,Joshua,Joseph,CO_college_m_Adams_State
5504392,Jackson,Roberts,CO_college_m_Adams_State
5504393,Austin,Speer,CO_college_m_Adams_State
5504506,Cole,Friedman,IA_college_m_Drake
5504977,Tanis,Baldwin,NC_college_m_North_Carolina_St
5504978,Ben,Barrett,NC_college_m_North_Carolina_St
5505150,Isaac,Petsch,MT_college_m_Rocky_Mountain
5505393,Grant,Miller,WI_college_m_Wis_Whitewater
5505604,Ty,Mogan,MT_college_m_Montana_State
5506073,Brad,Eagan,WI_college_m_Marquette
5506811,Anthony,Williams,IN_college_m_Notre_Dame_IN
5506905,Nick,McGuire,PA_college_m_Bloomsburg
5507229,Brydon,Groves-Scott,AL_college_m_Alabama_Huntsville
5507780,Marcelo,Laguera,CO_college_m_Colorado_St_Pueblo
5507785,Alec,Choury,CO_college_m_Colorado_St_Pueblo
5507787,Devundrick,Walker,CO_college_m_Colorado_St_Pueblo
5507789,Michael,Rathje,54393
5507793,Brian,Wandzilak,54393
5507834,Ryan,Clifford,PA_college_m_Mansfield
5508435,Tanner,Peltier,SD_college_m_Northern_State
5508436,Logan,Swenson,SD_college_m_Northern_State
5508452,Zachary,Chamberlain,CA_college_m_Chico_State
5508453,Garrett,DeLong,CA_college_m_Chico_State
5508459,Jack,Johnson,CA_college_m_Chico_State
5509248,Dominick,Fonseca,KS_college_m_Pittsburg_St
5510564,Israel,Barco,KS_college_m_Fort_Hays_St
5510565,Layton,Werth,KS_college_m_Fort_Hays_St
5510567,Brett,Meyer,KS_college_m_Fort_Hays_St
5511832,Roosevelt,Cook,6667
5512526,Brettley,Harris,WV_college_m_West_Virginia_Wesleyan
5513251,Austin,Oetinger,NY_college_m_Canisius
5513642,Evan,Luecke,TX_college_m_TAMU_Commerce
5513644,Steeven,Martinez,TX_college_m_TAMU_Commerce
5513648,Sage,Breed,TX_college_m_TAMU_Commerce
5514718,Kyle,Kolar,WI_college_m_Wis_La_Crosse
5514722,Harry,Soeder,WI_college_m_Wis_La_Crosse
5515404,Kieran,Tuntivate,MA_college_m_Harvard
5517450,Alexander,Bruno,IN_college_m_Valparaiso
5518176,Connor,Wuori,MI_college_m_Oakland
5518178,Brad,Mallory,MI_college_m_Oakland
5523856,Adam,Hendrickson,UT_college_m_Utah_State
5528764,Nick,Colyn,BC_college_m_Trinity_Western
5530591,Nolan,Wallenkamp,WI_college_m_Wis_Platteville
5530592,Zach,Klokow,WI_college_m_Wis_Platteville
5530594,Evan,Krug,WI_college_m_Wis_Platteville
5533463,Jake,Bartholomy,50158
5534138,Ryan,Myore,KS_college_m_Haskell_Indian
5538189,Casey,Comber,PA_college_m_Villanova
5538192,Andrew,Marston,PA_college_m_Villanova
5540707,Simon,Berube,MB_college_m_U_of_Manitoba
5541433,Paul,Danger,54773
5541435,Chris,Gruenhagen,54773
5542584,Bryce,Balenseifen,ID_college_m_Idaho_State
5542585,Sukhi,Khosla,OK_college_m_Oklahoma_State
5544269,Raymond,Friend,53609
5544277,Matthew,Beyerle,53609
5545891,Ciaran,O'Leary,WA_college_m_Gonzaga
5548931,Josh,Wood,51063
5548935,Nicholas,Fuller,51063
5548937,Praveen,Vulimiri,51063
5548940,Chris,Petroff,51063
5549249,Alexander,Art,52181
5550800,Shane,Corley,ON_college_m_Waterloo
5551993,Sam,Kinahan,ON_college_m_Toronto
5553334,Jake,Willard,OR_college_m_UO_Running_Club
5561030,Zachery,Adkins,MI_college_m_Cleary
5565627,Zach,Wiberg,UT_college_m_Weber_State
5565918,Stefan,Daniel,AB_college_m_U_Calgary
5566286,Luke,Martin,50158
5568708,Mark,Patton,9491
5569913,Jacob,Gibson,52181
5570134,Joshua,Pardoe,52482
5585024,Noah,Allison,NC_college_m_Mars_Hill
5585513,Miles,Taylor,MD_college_m_Goucher
5586245,Stefan,Prince,MN_college_m_Bethany_Lutheran
5589841,Matthew,Cohen,NJ_college_m_Stockton
5589873,Isaias,Solorio,NE_college_m_Wayne_St_NE
5590103,Noah,Deck,IL_college_m_DePaul
5590239,Bryan,Partika,PA_college_m_Point_Park
5591382,Evan,Ferlic,MN_college_m_Minnesota
5591388,Connor,Olson,MN_college_m_Minnesota
5591409,Trent,Mazelli,OR_college_m_Portland
5591414,Sean,Tan,OR_college_m_Portland
5592529,Daryn,Hutchings,NY_college_m_Binghamton
5592696,Isaac,Calvert,MO_college_m_Central_Missouri
5592721,Ryan,Skopec,MO_college_m_Central_Missouri
5592724,Ben,Sporleder,MO_college_m_Central_Missouri
5593385,Isaac,Sprague,KS_college_m_Friends
5593531,Willie,Moore,CO_college_m_UC_Colo_Spgs
5593532,Ben,Patzer,CO_college_m_UC_Colo_Spgs
5593756,Jacob,Huber,SD_college_m_South_Dakota_Tech
5595880,Graham,Brown,AR_college_m_Arkansas
5596124,Leakey,Kipkosgei,MA_college_m_American_Intl
5596173,Cameron,Laverty,TX_college_m_Houston
5596312,Justin,Shaffer,NY_college_m_Roberts_Wesleyan
5596714,Dylan,Hodgson,KS_college_m_Kansas
5596786,Jeremiah,McCarter,TN_college_m_Carson_Newman
5597339,Jeremy,Inman,MO_college_m_Southwest_Baptist
5597349,Jordan,Inman,MO_college_m_Southwest_Baptist
5597559,Keegan,Her Many Horses,SD_college_m_Black_Hills_St
5597561,Jake,Iverson,SD_college_m_Black_Hills_St
